bigram,sadness,joy,love,anger,fear,surprise
i allow,0.012820503674447536,0.9290778636932373,0.006506192497909069,0.04427714645862579,0.0059084901586174965,0.0014096589293330908
i will,0.026095448061823845,0.8766738176345825,0.009410778991878033,0.07410384714603424,0.011817822232842445,0.0018981490284204483
i hesitate,0.014115654863417149,0.04065029323101044,0.0021805614233016968,0.45291414856910706,0.4882398545742035,0.001899534952826798
i need,0.24162113666534424,0.24216145277023315,0.023587455973029137,0.4477008283138275,0.04218652471899986,0.0027425456792116165
i didn,0.025998033583164215,0.08144684135913849,0.0023710483219474554,0.8719528317451477,0.01636568270623684,0.0018656287575140595
i m,0.04470833018422127,0.2790268361568451,0.005402884446084499,0.6254713535308838,0.04224579781293869,0.0031448318623006344
i can,0.02491222880780697,0.8949992656707764,0.004581237677484751,0.056952692568302155,0.015394129790365696,0.003160426625981927
i miss,0.6902961134910583,0.27735990285873413,0.009186549112200737,0.014312497340142727,0.0076532200910151005,0.0011916826479136944
i reacted,0.0009378319955430925,0.000845413887873292,0.00029686669586226344,0.9880737662315369,0.009549693204462528,0.0002963283914141357
i dont,0.06068902462720871,0.09238950163125992,0.003944081719964743,0.8181560635566711,0.023371810093522072,0.0014495606301352382
i wound,0.24022507667541504,0.0149463452398777,0.00945861916989088,0.5031472444534302,0.22674399614334106,0.005478664766997099
i see,0.050923462957143784,0.8768422603607178,0.0037551175337284803,0.050210319459438324,0.01446197833865881,0.0038068098947405815
i often,0.10496978461742401,0.19662602245807648,0.004279986023902893,0.512498676776886,0.17625100910663605,0.005374539643526077
i distinctly,0.04039707034826279,0.19630739092826843,0.005358693189918995,0.6572997570037842,0.08863550424575806,0.012001642026007175
i lack,0.9277200698852539,0.005307943094521761,0.0008430046145804226,0.05599202960729599,0.009416588582098484,0.0007203565910458565
i try,0.03499949350953102,0.5258131623268127,0.0059320093132555485,0.404415488243103,0.026433635503053665,0.002406170591711998
i always,0.04009269177913666,0.8433719277381897,0.00978381559252739,0.09876412898302078,0.0067015946842730045,0.0012858523987233639
i also,0.04593876004219055,0.5978195667266846,0.0072640650905668736,0.28382688760757446,0.05886981636285782,0.006280846893787384
i are,0.04457773640751839,0.5959596037864685,0.007639068644493818,0.3064575493335724,0.04142695292830467,0.003939099609851837
i love,0.04586635157465935,0.32649004459381104,0.5976815223693848,0.02465953305363655,0.0037222823593765497,0.0015802071429789066
i probably,0.03800669312477112,0.12811321020126343,0.0025053932331502438,0.7591146230697632,0.07016361504793167,0.0020964450668543577
i only,0.11350966989994049,0.09725245833396912,0.006209504324942827,0.7249635457992554,0.054176945239305496,0.0038879027124494314
i grabbed,0.0037177344784140587,0.00797988660633564,0.0013939178315922618,0.6406078338623047,0.34292522072792053,0.0033753521274775267
i graduated,0.018136058002710342,0.8922070264816284,0.002547857817262411,0.07305708527565002,0.010087641887366772,0.003964328207075596
i felt,0.014105520211160183,0.9669678807258606,0.0025002092588692904,0.003799611236900091,0.011236273683607578,0.0013903885846957564
i even,0.021342983469367027,0.1631683111190796,0.002997681265696883,0.7831506133079529,0.024631842970848083,0.004708585795015097
i let,0.03990761563181877,0.24634447693824768,0.006376158446073532,0.6879696846008301,0.017149876803159714,0.0022521864157170057
i so,0.030447525903582573,0.30092212557792664,0.005541149061173201,0.6284093856811523,0.03096974827349186,0.003710039658471942
i remember,0.09345361590385437,0.875775158405304,0.008084594272077084,0.013350747525691986,0.006256912834942341,0.0030789438169449568
i believe,0.0010939298663288355,0.995955228805542,0.0009716732311062515,0.0010500905336812139,0.0006358639220707119,0.00029313506092876196
i had,0.07865367084741592,0.1541527658700943,0.0045608896762132645,0.7235723733901978,0.034807272255420685,0.00425304751843214
i came,0.03194138780236244,0.3062359094619751,0.004908102564513683,0.6136462688446045,0.03825671970844269,0.00501162139698863
i wondered,0.003606223501265049,0.007415929343551397,0.0012562783667817712,0.10140588134527206,0.8725675344467163,0.013748041354119778
i think,0.07611612975597382,0.5953425765037537,0.0054036714136600494,0.21338677406311035,0.10466761887073517,0.005083243828266859
i would,0.06532534211874008,0.5760630369186401,0.01217389851808548,0.29736626148223877,0.044300809502601624,0.004770681727677584
i rely,0.08926381915807724,0.7113129496574402,0.0049252999015152454,0.1475103199481964,0.04451455548405647,0.0024730314034968615
i cringe,0.022949082776904106,0.045791808515787125,0.00146744423545897,0.8664947748184204,0.0613301657140255,0.001966759329661727
i don,0.062482431530952454,0.3746531307697296,0.007347887381911278,0.5372908115386963,0.016018230468034744,0.0022075071465224028
i could,0.037196289747953415,0.8232007026672363,0.004238407593220472,0.09132569283246994,0.03753844276070595,0.006500499323010445
i hide,0.06876315921545029,0.20914903283119202,0.005622501485049725,0.5803433060646057,0.13238391280174255,0.003738040803000331
i floated,0.007159773260354996,0.036332886666059494,0.0011961804702877998,0.052855364978313446,0.891949474811554,0.010506285354495049
i knew,0.018845178186893463,0.7704523801803589,0.009896299801766872,0.17624525725841522,0.021191321313381195,0.0033695988822728395
i get,0.0692848265171051,0.6347169280052185,0.006158012431114912,0.26816949248313904,0.017457466572523117,0.004213294945657253
i spent,0.44550618529319763,0.2743426561355591,0.005291041452437639,0.253261923789978,0.019031690433621407,0.002566418843343854
i walked,0.020071597769856453,0.048056770116090775,0.0018226426327601075,0.5330849885940552,0.3929603099822998,0.004003685433417559
i should,0.16655170917510986,0.15638326108455658,0.005324147175997496,0.6195681095123291,0.049407050013542175,0.0027657265309244394
i blanked,0.9294882416725159,0.013652256689965725,0.0008946065790951252,0.022530127316713333,0.03095518983900547,0.0024795960634946823
i adore,0.004751813597977161,0.9618886709213257,0.009291579946875572,0.021576309576630592,0.001577033894136548,0.000914698641281575
i hate,0.018875285983085632,0.003333990927785635,0.002466765232384205,0.9734247922897339,0.0014771113637834787,0.0004220065020490438
i simply,0.052380871027708054,0.5590876340866089,0.0044223167933523655,0.3427218496799469,0.037536751478910446,0.0038506321143358946
i understand,0.016251953318715096,0.962424099445343,0.0025528683327138424,0.015487127006053925,0.0025232930202037096,0.0007607071893289685
i got,0.01569760963320732,0.9104778170585632,0.0033984582405537367,0.05984577164053917,0.008118018507957458,0.002462298609316349
i may,0.05623474717140198,0.7887745499610901,0.007257874123752117,0.11389291286468506,0.029913844540715218,0.003926139324903488
i tell,0.04817727208137512,0.47206583619117737,0.008263136260211468,0.4462554454803467,0.022287452593445778,0.002950764261186123
i ve,0.04123390465974808,0.37578850984573364,0.0058841221034526825,0.5404684543609619,0.03299029916524887,0.0036347154527902603
i how,0.06779419630765915,0.28529518842697144,0.007807610090821981,0.5967555642127991,0.03482523933053017,0.007522188127040863
i picked,0.02008579485118389,0.27763551473617554,0.006851437035948038,0.6311280131340027,0.057738397270441055,0.006560828071087599
i pull,0.038052309304475784,0.2152915894985199,0.0068250736221671104,0.6663525700569153,0.07084997743368149,0.0026285462081432343
i go,0.04933517053723335,0.5290963053703308,0.007965956814587116,0.3828771412372589,0.027203770354390144,0.003521654987707734
i like,0.009415204636752605,0.9000571966171265,0.048635344952344894,0.03808467462658882,0.0027912985533475876,0.0010164381237700582
i finally,0.00807487778365612,0.9842878580093384,0.0013467308599501848,0.0033810639288276434,0.0019401247845962644,0.0009693646570667624
i wont,0.004816564731299877,0.970773458480835,0.0038103905972093344,0.01743059977889061,0.0024447226896882057,0.0007242434658110142
i used,0.038131650537252426,0.012543492019176483,0.0012185515370219946,0.9426349997520447,0.00468685757368803,0.0007844698266126215
i view,0.04622026905417442,0.6617719531059265,0.006887011229991913,0.25852030515670776,0.023822495713829994,0.0027779904194176197
i realize,0.019252706319093704,0.9455483555793762,0.0014736971352249384,0.01950567401945591,0.011188168078660965,0.003031425643712282
i started,0.07744381576776505,0.30046719312667847,0.003730395110324025,0.5149533748626709,0.09734608232975006,0.006059100851416588
i hope,0.0028408782090991735,0.9909679293632507,0.0021055545657873154,0.002631209325045347,0.0011576823890209198,0.0002967661421280354
i begin,0.11163556575775146,0.6732407212257385,0.007285138592123985,0.1361943781375885,0.0658201351761818,0.005823948886245489
i turned,0.013284188695251942,0.016063325107097626,0.0017519333632662892,0.8549261689186096,0.11175462603569031,0.0022197894286364317
i speak,0.03116031549870968,0.2465398758649826,0.005868313834071159,0.688411295413971,0.02515779621899128,0.002862502122297883
i quit,0.7361192107200623,0.009665342047810555,0.0011941188713535666,0.24886584281921387,0.0031310315243899822,0.0010244206059724092
i wouldnt,0.034795597195625305,0.11360680311918259,0.004221373703330755,0.8154522776603699,0.029882770031690598,0.002041251165792346
i suppose,0.06799761205911636,0.4301927387714386,0.008368209935724735,0.17712971568107605,0.29830220341682434,0.018009578809142113
i hold,0.031398430466651917,0.5704659819602966,0.01325922179967165,0.34711387753486633,0.035622891038656235,0.0021395450457930565
i realise,0.016820617020130157,0.9614405035972595,0.0012127255322411656,0.014716892503201962,0.0044890111312270164,0.0013202728005126119
i wish,0.047766901552677155,0.9039451479911804,0.030411239713430405,0.013550825417041779,0.0031825799960643053,0.001143361907452345
i liked,0.0015916754491627216,0.0024756097700446844,0.986466109752655,0.0071805850602686405,0.0008669182425364852,0.0014190127840265632
i say,0.023964688181877136,0.06406264007091522,0.0031847076024860144,0.896675169467926,0.010569577105343342,0.0015432320069521666
i realised,0.006512745749205351,0.9754540324211121,0.0010438559111207724,0.009176905266940594,0.00575445918366313,0.002057816134765744
i almost,0.015811216086149216,0.014691234566271305,0.0008821008959785104,0.11034127324819565,0.8523463010787964,0.005927846767008305
i met,0.01286372635513544,0.10875502228736877,0.007312064059078693,0.6968628764152527,0.16487263143062592,0.00933366734534502
i stated,0.02444642223417759,0.17902512848377228,0.005748225841671228,0.7727482318878174,0.015385816805064678,0.0026461149100214243
i wear,0.0925145149230957,0.2876368761062622,0.007932902313768864,0.5821374654769897,0.027480430901050568,0.0022978761699050665
i began,0.10015638172626495,0.37766140699386597,0.0057071540504693985,0.39390915632247925,0.11606734246015549,0.006498555652797222
i found,0.013384276069700718,0.9313750267028809,0.0017519755056127906,0.014898581430315971,0.027725638821721077,0.01086452603340149
i shared,0.015465345233678818,0.73675936460495,0.0832105427980423,0.1541091650724411,0.007607016712427139,0.002848556498065591
i make,0.037809308618307114,0.7510524988174438,0.005274128634482622,0.18786072731018066,0.014841028489172459,0.0031625055707991123
i said,0.016721811145544052,0.04508247971534729,0.0021263433154672384,0.9188304543495178,0.015574763529002666,0.0016641716938465834
i kinda,0.04436929523944855,0.1608179211616516,0.003825479419901967,0.7312965989112854,0.05550869181752205,0.004181965254247189
i live,0.0547286719083786,0.8482810258865356,0.005270005669444799,0.07596968859434128,0.013710349798202515,0.0020402180962264538
i caught,0.008455159142613411,0.07707862555980682,0.0019387912470847368,0.31595706939697266,0.5851012468338013,0.011469151824712753
i expressed,0.021895313635468483,0.8397595286369324,0.006146987900137901,0.12006773054599762,0.009764246642589569,0.002366255735978484
i awoke,0.006590705830603838,0.01767842285335064,0.000985150458291173,0.006490401457995176,0.9535306692123413,0.01472469326108694
i guess,0.08847479522228241,0.4469093382358551,0.006662746425718069,0.24973055720329285,0.1957012116909027,0.012521318159997463
i sat,0.03683469817042351,0.18067793548107147,0.003119740402325988,0.6006293296813965,0.17216692864894867,0.0065713911317288876
i admit,0.0630173534154892,0.426238477230072,0.00926779955625534,0.4878469407558441,0.011395235545933247,0.0022342309821397066
i work,0.05082069709897041,0.7296406626701355,0.0035059326328337193,0.20000693202018738,0.01324542984366417,0.002780441427603364
i start,0.13653266429901123,0.2891455292701721,0.005123769398778677,0.4842965602874756,0.08095094561576843,0.003950519487261772
i possess,0.012326930649578571,0.8810354471206665,0.0042900885455310345,0.07850951701402664,0.02037126012146473,0.0034668436273932457
i discovered,0.009958178736269474,0.8055217266082764,0.0020051058381795883,0.02002694644033909,0.06361657381057739,0.09887145459651947
i took,0.030507517978549004,0.02456427551805973,0.0035695096012204885,0.9177449941635132,0.022442875429987907,0.0011707888916134834
i haven,0.05952836945652962,0.8879238963127136,0.002723166486248374,0.03696262836456299,0.011286559514701366,0.0015753557672724128
i pulled,0.013245373032987118,0.015289733186364174,0.0030051188077777624,0.5678742527961731,0.39770832657814026,0.0028772098012268543
i already,0.04897802695631981,0.1887715756893158,0.003769143018871546,0.7208915948867798,0.03529985249042511,0.002289828844368458
i missed,0.9988391995429993,0.0002478297392372042,0.00018815112707670778,0.0003319207753520459,0.00024924593162722886,0.0001437151659047231
i stayed,0.06368919461965561,0.7171348333358765,0.006288229953497648,0.18170742690563202,0.029040228575468063,0.0021400186233222485
i won,0.01581263355910778,0.8791564106941223,0.004758036695420742,0.09208926558494568,0.005673597566783428,0.0025099131744354963
i figure,0.007822605781257153,0.9522027373313904,0.001115008839406073,0.01894654519855976,0.0181376151740551,0.0017754792934283614
i fell,0.09650014340877533,0.015212757512927055,0.003204762004315853,0.18980957567691803,0.6881096363067627,0.007163093890994787
i feeling,0.02195967733860016,0.9167473912239075,0.008121063932776451,0.0015117366565391421,0.04131589084863663,0.010344238951802254
i cross,0.015330285765230656,0.09528413414955139,0.004002787638455629,0.8017823696136475,0.08150025457143784,0.0021002248395234346
i tend,0.01923898048698902,0.9203944802284241,0.007176520768553019,0.04893982782959938,0.0032667932100594044,0.0009832630166783929
i continued,0.03198440000414848,0.18584105372428894,0.004946406465023756,0.7489286065101624,0.025572430342435837,0.002727013546973467
i care,0.012824717909097672,0.9489333629608154,0.02541923150420189,0.01143559068441391,0.0009094381821341813,0.00047768588410690427
i might,0.03098863735795021,0.237550750374794,0.0041106040589511395,0.41189083456993103,0.30979764461517334,0.005661576054990292
i cry,0.25126704573631287,0.04314447566866875,0.006674936041235924,0.6816335320472717,0.01578548736870289,0.0014945808798074722
i doing,0.032627034932374954,0.4187166094779968,0.0038614929653704166,0.49883946776390076,0.04073535278439522,0.005220043007284403
i proved,0.002081387210637331,0.9879387617111206,0.0011180633446201682,0.004047216381877661,0.0018855796661227942,0.002929145470261574
i invest,0.00477888248860836,0.9809797406196594,0.0013347609201446176,0.008698166348040104,0.0034174490720033646,0.0007911277934908867
i perceive,0.06593602895736694,0.7736597657203674,0.004154737573117018,0.049420662224292755,0.09466768056154251,0.012161118909716606
i a,0.038139477372169495,0.17166689038276672,0.0057866559363901615,0.6916136145591736,0.08604311943054199,0.006750243715941906
i seriously,0.02099587768316269,0.24594610929489136,0.0028503078501671553,0.7022581696510315,0.025707107037305832,0.0022424592170864344
i cough,0.007338379044085741,0.002164167584851384,0.0007077166810631752,0.9625611901283264,0.02655664272606373,0.000671994814183563
i saw,0.09031379222869873,0.58549964427948,0.0056800926104187965,0.20528005063533783,0.09531237185001373,0.01791396550834179
i kicked,0.0025245018769055605,0.0035177019890397787,0.0004719654971268028,0.986831784248352,0.006088699214160442,0.0005653569824062288
i dream,0.014077280648052692,0.9638240337371826,0.004688904620707035,0.0038945781998336315,0.012190920300781727,0.001324326847679913
i thank,0.0015719181392341852,0.9754418730735779,0.021534577012062073,0.0008481330005452037,0.000257030944339931,0.0003465668123681098
i find,0.08512254804372787,0.7401644587516785,0.006680670659989119,0.10554756224155426,0.05247684568166733,0.01000786479562521
i dunno,0.025199318304657936,0.4946720004081726,0.005434714257717133,0.44144120812416077,0.029413824900984764,0.003838953794911504
i gain,0.033060550689697266,0.8261877298355103,0.0038175778463482857,0.12466020882129669,0.009833117015659809,0.002440823009237647
i hear,0.03556531295180321,0.848109245300293,0.004979022312909365,0.08823081851005554,0.020063871517777443,0.003051667707040906
i mean,0.06132220849394798,0.1458776295185089,0.00446833111345768,0.7284476161003113,0.056279413402080536,0.0036047841422259808
i received,0.010185135528445244,0.9281895756721497,0.004995478317141533,0.04869174584746361,0.005639910232275724,0.0022981821093708277
i enjoyed,0.0019426931394264102,0.8028500080108643,0.19163405895233154,0.0015446459874510765,0.0005097382818348706,0.0015189012046903372
i reflect,0.04483111947774887,0.8407952189445496,0.0028022867627441883,0.08720081299543381,0.021115818992257118,0.0032548122107982635
i dun,0.05683642253279686,0.1630803644657135,0.004930154886096716,0.697452187538147,0.07425221800804138,0.0034486993681639433
i evolve,0.008628364652395248,0.954697847366333,0.001878375536762178,0.02686901204288006,0.006754749454557896,0.001171586220152676
i arrived,0.02794448658823967,0.6875744462013245,0.003856552764773369,0.14170965552330017,0.12948296964168549,0.009431913495063782
i embrace,0.005216414574533701,0.45655357837677,0.5277798771858215,0.006845707073807716,0.0027058494742959738,0.000898487342055887
i keep,0.12969477474689484,0.11133573949337006,0.006902093533426523,0.7090451121330261,0.04045070707798004,0.0025715422816574574
i exited,0.08511397987604141,0.12948442995548248,0.002982867881655693,0.37290236353874207,0.4035949409008026,0.0059214504435658455
i possibly,0.014283426105976105,0.1381332129240036,0.0024985431227833033,0.14187373220920563,0.6941126585006714,0.009098408743739128
i were,0.04035275802016258,0.5931693315505981,0.005966152995824814,0.31727334856987,0.03924689441919327,0.003991483245044947
i d,0.08839587867259979,0.2489825338125229,0.007249634712934494,0.4947778880596161,0.1544787585735321,0.006115246564149857
i never,0.15009905397891998,0.07829887419939041,0.004370478913187981,0.7474939823150635,0.018300512805581093,0.0014371818397194147
i clench,0.01208238024264574,0.030717400833964348,0.001990602118894458,0.8978862166404724,0.05550031363964081,0.0018231522990390658
i hit,0.005410703364759684,0.01675674319267273,0.0010204779682680964,0.953622043132782,0.02138306014239788,0.001806946354918182
i preform,0.08405042439699173,0.5457262992858887,0.005306420382112265,0.19271953403949738,0.16476644575595856,0.00743092130869627
i first,0.031700778752565384,0.49331653118133545,0.005631501320749521,0.383363276720047,0.08031963557004929,0.0056682368740439415
i listed,0.06340695917606354,0.13518932461738586,0.0050994232296943665,0.6167476177215576,0.17020973563194275,0.009346896782517433
i recommend,0.00696159852668643,0.974165141582489,0.006775130517780781,0.007851043716073036,0.0036061659920960665,0.000640972051769495
i basically,0.03756682947278023,0.3035995364189148,0.003867938881739974,0.6156676411628723,0.0357821024954319,0.0035159611143171787
i grew,0.06831573694944382,0.681715190410614,0.006867353338748217,0.21425634622573853,0.024776263162493706,0.004069068469107151
i continue,0.0382561981678009,0.8295908570289612,0.005806142929941416,0.11375273019075394,0.010654681362211704,0.0019394209375604987
i not,0.026019645854830742,0.08209031820297241,0.004086294677108526,0.8678591847419739,0.018320679664611816,0.0016238726675510406
i woke,0.006209157407283783,0.012791093438863754,0.0009353760397061706,0.014925935305655003,0.957591712474823,0.007546745240688324
i sensed,0.002790111815556884,0.05117008462548256,0.0014521367847919464,0.01676277630031109,0.9231550097465515,0.004669954534620047
i admire,0.004244944546371698,0.5324663519859314,0.44017305970191956,0.016310574486851692,0.0011528359027579427,0.005652245134115219
i certainly,0.006696530617773533,0.9312276840209961,0.002117900410667062,0.04584142565727234,0.011657146736979485,0.0024593803100287914
i trust,0.004253553692251444,0.9825844168663025,0.0020719775930047035,0.0067369029857218266,0.0038252731319516897,0.000527885917108506
i once,0.012866852805018425,0.03347150608897209,0.001818873337469995,0.9353134036064148,0.014632226899266243,0.0018971912795677781
i cannot,0.29294830560684204,0.06627194583415985,0.005976931191980839,0.4686973989009857,0.1599588692188263,0.006146549712866545
i then,0.04631740599870682,0.1963779777288437,0.006237593479454517,0.6471051573753357,0.09763053804636002,0.0063313208520412445
i flung,0.0047263395972549915,0.018715426325798035,0.00208294577896595,0.928451657295227,0.043225791305303574,0.0027978753205388784
i loved,0.006226489320397377,0.0065940809436142445,0.9839161038398743,0.0020986455492675304,0.0006204335950314999,0.0005442683468572795
i laughed,0.0023133300710469484,0.027984365820884705,0.001665544230490923,0.9573109149932861,0.005134782288223505,0.0055910577066242695
i to,0.039384741336107254,0.08275380730628967,0.005311446264386177,0.7948750853538513,0.07334767282009125,0.00432727811858058
i smile,0.00200828118249774,0.9911489486694336,0.002510919701308012,0.0033132194075733423,0.0005869815358892083,0.0004316948470659554
i totally,0.0032663962338119745,0.9815645813941956,0.001279741758480668,0.010880046524107456,0.002238703425973654,0.0007704891613684595
i post,0.064028799533844,0.23037874698638916,0.004368201829493046,0.5656912326812744,0.13184890151023865,0.0036840643733739853
i questioned,0.0015964913181960583,0.003234659554436803,0.0006239575450308621,0.2476183921098709,0.7442536950111389,0.0026727570220828056
i watch,0.04643977805972099,0.7572255730628967,0.009354652836918831,0.16425946354866028,0.019455866888165474,0.0032645156607031822
i inquire,0.01009153202176094,0.0882587656378746,0.005581360775977373,0.5798878073692322,0.29501795768737793,0.021162647753953934
i exspress,0.02178824320435524,0.15674714744091034,0.002833077684044838,0.7934473752975464,0.023402148857712746,0.0017820100765675306
i ran,0.012470253743231297,0.03586054965853691,0.0016149724833667278,0.8946100473403931,0.053606923669576645,0.0018373130587860942
i suspect,0.010570037178695202,0.0727575495839119,0.0018848726758733392,0.05350380390882492,0.8588333129882812,0.00245036487467587
i learned,0.006820782087743282,0.9759220480918884,0.0014071286423131824,0.010057637467980385,0.0035513073671609163,0.002241033362224698
i drove,0.037133511155843735,0.17926505208015442,0.0032152605708688498,0.5121774077415466,0.2628176212310791,0.005391218233853579
i made,0.018596574664115906,0.8982071280479431,0.00242037745192647,0.07080570608377457,0.007785775698721409,0.002184366574510932
i put,0.03077699802815914,0.14886915683746338,0.0028577798511832952,0.7812017798423767,0.033422499895095825,0.002871716395020485
i wasnt,0.006670449860394001,0.005352591164410114,0.0005131085054017603,0.9817076921463013,0.00535969901829958,0.0003965071227867156
i struggle,0.05421416461467743,0.0042520673014223576,0.0008605654584243894,0.9158422946929932,0.024096621200442314,0.0007341744494624436
i returned,0.030217241495847702,0.8694330453872681,0.0048005906865000725,0.07418331503868103,0.018624715507030487,0.0027411014307290316
i personally,0.023658819496631622,0.04482162371277809,0.003355498891323805,0.9083535671234131,0.01769261248409748,0.0021178636234253645
i walk,0.06745679676532745,0.2738613784313202,0.00475669139996171,0.5792238116264343,0.07168255746364594,0.003018734510987997
i couldnt,0.13560077548027039,0.03617459908127785,0.0021744833793491125,0.7305935621261597,0.09251419454813004,0.0029423676896840334
i mane,0.01823805272579193,0.26930180191993713,0.009292409755289555,0.6662795543670654,0.032413300126791,0.004474874585866928
i pour,0.02218289114534855,0.44359561800956726,0.0062741609290242195,0.5141648054122925,0.011133751831948757,0.0026487940922379494
i print,0.04771694540977478,0.4400089383125305,0.002940178383141756,0.4556696116924286,0.0494559109210968,0.0042083957232534885
i choose,0.09108743071556091,0.606355607509613,0.013424660079181194,0.2659638226032257,0.020296713337302208,0.002871803008019924
i continually,0.03978803753852844,0.14840202033519745,0.003412884660065174,0.7645115852355957,0.04146379604935646,0.002421674784272909
i decided,0.01783381588757038,0.9193130135536194,0.0027597725857049227,0.04523481801152229,0.012821901589632034,0.002036662306636572
i play,0.0327037051320076,0.35948920249938965,0.005133401602506638,0.5771163105964661,0.02341003343462944,0.00214733206667006
i accepted,0.004566485527902842,0.8025779128074646,0.18681752681732178,0.0035294978879392147,0.001512531889602542,0.0009960633469745517
i screamed,0.0023867045529186726,0.0013197236694395542,0.0004242354480084032,0.9632671475410461,0.03184351697564125,0.0007586703868582845
i gush,0.007840367034077644,0.12316840887069702,0.007145434617996216,0.8389727473258972,0.018331438302993774,0.004541611298918724
i suffer,0.9915450811386108,0.001018766313791275,0.0003388571203686297,0.005590980406850576,0.0012012573424726725,0.000305038905935362
i swear,0.008751459419727325,0.009808600880205631,0.0010967833222821355,0.9694682359695435,0.010446353815495968,0.00042853865306824446
i visit,0.038275279104709625,0.7214721441268921,0.007932931184768677,0.1804599165916443,0.047867100685834885,0.003992658108472824
i seemed,0.0316963754594326,0.4470957815647125,0.0028837176505476236,0.07735323160886765,0.4110904633998871,0.029880398884415627
i give,0.04264416545629501,0.4731658101081848,0.040375564247369766,0.42913684248924255,0.011634494177997112,0.0030431312043219805
i reached,0.014035302214324474,0.902887225151062,0.003150678239762783,0.0363197885453701,0.038934867829084396,0.004672064445912838
i imagine,0.06226177141070366,0.7328015565872192,0.006546183489263058,0.11385530978441238,0.0795871913433075,0.0049480474554002285
i now,0.05084849148988724,0.2569355070590973,0.004077916033565998,0.6462531089782715,0.038942065089941025,0.0029428342822939157
i wasn,0.028254687786102295,0.061434630304574966,0.0019917667377740145,0.8832072615623474,0.02375638484954834,0.001355222426354885
i plan,0.02981462888419628,0.6964883804321289,0.005426166113466024,0.24818512797355652,0.018519582226872444,0.001566001446917653
i usually,0.09799770265817642,0.32481274008750916,0.004649626091122627,0.4375486671924591,0.13094115257263184,0.004050115589052439
i excel,0.0013513881713151932,0.9942159056663513,0.0004476277681533247,0.0021426649764180183,0.0009182458161376417,0.0009241352672688663
